Project_name,Country,Site,Latitude,Longitude,Exposure,Reef_slope,Reef_type,Reef_zone,Year,Month,Day,Start time,Tide,Visibility,Current,Depth,Relative_depth,Management_name,Management_secondary_name,Management year established,Management size,Governance,Estimated compliance,Management_rules,Transect_number,Transect_label,Transect_length_surveyed,Observers,Benthic_category,Benthic_attribute,Growth_form,LIT_CM,Total transect cm,Site notes,Management notes,Sample unit notes
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,21,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,400,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,8,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,50,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,117,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,29,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,247,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Branching,21,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,10,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,387,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,82,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,313,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Rubble,Rubble,,14,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Massive,11,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,43,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Sand,Sand,,33,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,83,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Bare substrate,Rock,,15,5000,,,
2017_Coastal Resource Monitoring,Philippines,Albina Reef,10.42018333,119.6750806,semi-exposed,flat,fringing,fore reef,2017,9,12,,low,5-10m - fair,low/none,10,shallow,Dumaran_Open,,,,,,open access,1,,50,"Jesus Bream, John Martin Caligdong",Hard coral,Hard coral,Digitate,6,5000,,,
