Site,Latitude,Longitude,Benthic_category,Benthic_attribute,Growth_form,LIT_CM,Total transect cm
Albina Reef,10.42018333,119.6750806,Bare substrate,Rock,,0,
,,,Sand,Sand,,50,
,,,Sand,Sand,,100,
,,,Sand,Sand,,150,
,,,Sand,Sand,,200,
,,,Sand,Sand,,250,
,,,Sand,Sand,,300,
,,,Sand,Sand,,350,
,,,Sand,Sand,,400,
,,,Sand,Sand,,450,
,,,Hard coral,Digitate,,500,
,,,Hard coral,Digitate,,550,
,,,,,,600,
,,,,,,650,
,,,,,,700,
,,,,,,750,
,,,,,,800,
,,,,,,850,
,,,,,,900,
,,,,,,950,
,,,,,,1000,
,,,,,,50,
,,,,,,100,
,,,,,,150,
,,,,,,200,
,,,,,,250,
,,,,,,300,
,,,,,,350,
,,,,,,400,
,,,,,,450,
,,,,,,500,
,,,,,,550,
,,,,,,600,
,,,,,,650,
,,,,,,700,
,,,,,,750,
,,,,,,800,
,,,,,,850,
,,,,,,900,
,,,,,,950,
,,,,,,1000,
,,,,,,50,
,,,,,,100,
,,,,,,150,
,,,,,,200,
,,,,,,250,
,,,,,,300,
,,,,,,350,
,,,,,,400,
,,,,,,450,
,,,,,,500,
,,,,,,550,
,,,,,,600,
,,,,,,650,
,,,,,,700,
,,,,,,750,
,,,,,,800,
,,,,,,850,
,,,,,,900,
,,,,,,950,
,,,,,,1000,
,,,,,,50,
,,,,,,100,
,,,,,,150,
,,,,,,200,
,,,,,,250,
,,,,,,300,
,,,,,,350,
,,,,,,400,
,,,,,,450,
,,,,,,500,
,,,,,,550,
,,,,,,600,
,,,,,,650,
,,,,,,700,
,,,,,,750,
,,,,,,800,
,,,,,,850,
,,,,,,900,
,,,,,,950,
,,,,,,1000,
,,,,,,50,
,,,,,,100,
,,,,,,150,
,,,,,,200,
,,,,,,250,
,,,,,,300,
,,,,,,350,
,,,,,,400,
,,,,,,450,
,,,,,,500,
,,,,,,550,
,,,,,,600,
,,,,,,650,
,,,,,,700,
,,,,,,750,
,,,,,,800,
,,,,,,850,
,,,,,,900,
,,,,,,950,
,,,,,,1000,
