longitude,latitude,site_name,Province,Municipality/City,Year,Month_date,Depth,Substrate,Segment,Total
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S1,22
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S2,25
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S3,27
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S4,26
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S1,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S2,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S3,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S4,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S1,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S2,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S3,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,HC,S4,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SC,S1,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SC,S2,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SC,S3,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SC,S4,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RKC,S1,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RKC,S2,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RKC,S3,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RKC,S4,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,NIA,S1,2
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,NIA,S2,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,NIA,S3,1
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,NIA,S4,1
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SP,S1,1
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SP,S2,4
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SP,S3,1
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SP,S4,2
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RC,S1,10
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RC,S2,6
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RC,S3,11
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RC,S4,10
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RB,S1,3
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RB,S2,2
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RB,S3,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,RB,S4,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SD,S1,1
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SD,S2,1
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SD,S3,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SD,S4,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SI,S1,1
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SI,S2,2
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SI,S3,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,SI,S4,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,OT,S1,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,OT,S2,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,OT,S3,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,OT,S4,1
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,NIA,S1,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,NIA,S2,0
119.3093056,11.01597222,TY_Esteban Reef,Palawan,Taytay,2016,20 Apr 16,3,NIA,S3,0
