CODE,DESCRIPTION,FUNCTIONAL GROUP,TAU_STRICT,TAU_RELATIVE,TAU_CATEGORY
ACAN,Acanthastrea,HC,,,
LOB_ACA,Acanthastrea,HC,1,1,Acanthastrea
ACR_ACR,Acropora,HC,1,1,6 x Acropora
BL_ACR,Acropora Bleached,BL_HC,0,0,
BL_ACR,Acropora Bleached,BL_HC,,,
ACT,Actinaria (Anemones),SI,0,0,
BIO_AA,Algal assemblages,BIO,,,
ACR_ALV,Alveopora,HC,0,1,
ASC,"Ascidiacea (Ascidians, Tunicates)",SI,0,0,
AST,Asteroidea (Sea stars),MI,0,0,
MER_AST,Astrea,HC,1,1,Montastrea
ACR_AST,Astreopora,HC,1,1,Astreopora
SP_BR,Branching Sponge,SP,0,0,
MA_BR,Brown Macroalgae,MA,0,0,
BRY,Bryozoa (Bryozoans),SI,0,0,
CAU,Caulastrea,HC,0,0,
MER_COA,Coelastrea,HC,0,1,
EUP_COE,Coeloseris,HC,1,1,Coeloseris
AB_RB,Coral rubble,AB,0,0,
COR,Corallimorpharia (Corallimorphs),SI,0,0,
CA_CCA,Coralline Algae,BIO,0,0,
COS_COS,Coscinaraea,HC,1,1,Coscinaraea
CRI,Crinoidae (Feather Stars),MI,0,0,
AST_COT,Crown-of-Thorns,MI,0,0,
CA_CCA,Crustose Coralline Algae,CA,0,0,
CM,Cyanobacterial Mats,CM,0,0,
MER_CYP,Cyphastrea,HC,1,1,Cyphastrea
AB_DC,Dead Coral,AB,0,0,
AB_DCA,Dead coral with algae,AB,0,0,
NEP_DNE,Dendronephthya,SC,0,0,
ECH_DIA,Diadema,MI,0,0,
DIP_DIP,Diploastrea,HC,1,1,Diploastrea
MER_DIS,Dipsastraea,HC,1,1,Favia
ECH,Echinoidea (Sea Urchins),MI,0,0,
LOB_ECL,Echinophyllia,HC,1,1,Echinophyllia
MER_ECH,Echinopora,HC,1,1,Echinopora
MA_RE_ENC,Encrusting Red Macroalgae,MA,0,0,
SP_EN,Encrusting Sponge,SP,0,0,
CA_ECA,Erect Coralline Algae,CA,0,0,
EUP_EUP,Euphyllia,HC,1,1,Euphyllia
MER_FVS,Favites,HC,1,1,Favites
EUP_FIM,Fimbriaphyllia,HC,0,1,Technically Euphyllia
CMR,Fungia,HC,,,
EUP_GAL,Galaxea,HC,1,1,Galaxea
MER_GOS,Goniastrea,HC,1,1,Goniastrea
POR_GON,Goniopora,HC,1,1,Goniopora
MA_GR,Green Macroalgae,MA,0,0,
BIO_HA,Halimeda,BIO,,,
HEL,Heliopora (Blue coral),SC,1,1,Heliopora
HOL,Holothuroidea (Sea Cucumbers),MI,0,0,
MER_HYD,Hydnophora,HC,1,1,Hydnophora
HYR,Hydrozoa (Hydroids),SI,0,0,
ACR_ISO,Isopora,HC,1,1,Isopora
LER_LER,Leptastrea,HC,0,1,
MER_LEP,Leptoria,HC,1,1,Leptoria
AGA_LEP,Leptoseris,HC,1,1,Leptoseris
FUN_LIT,Lithophyllon,HC,1,1,Attached fungids
NEP_LTP,Lithophyton,SC,0,0,
LOB_LOB,Lobophyllia,HC,1,1,Lobophyllia
SAR_LBP,Lobophytum,SC,0,0,
MA,Macroalgae,MA,0,0,
SP_MA,Massive Sponge,SP,0,0,
MER_MER,Merulina,HC,1,1,Merulina
MIL,Millepora (Fire coral),SI,1,1,Millepora
MI,Mobile Invertebrates,MI,0,0,
ACR_MON,Montipora,HC,1,1,3 x Montipora
MER_MYC,Mycedium,HC,1,1,Mycedium
ACR_OTH,Other Acroporidae,HC,0,1,
